i,j,nx,ny,nz
58,57,0.6048502139799838,0.5820256776033806,0.5435092724679988
59,57,0.6089122612786705,0.5646277331856763,0.5571547190701168
60,57,0.612080536912706,0.5476510067113687,0.5704697986578064
61,57,0.6144233272584805,0.5311116896641103,0.5834418120282022
62,57,0.6160060590759446,0.5150214592274291,0.5960616006059888
63,57,0.6168910648714346,0.4993880048959233,0.6083231334150105
0,58,-0.6015755550250204,0.5060873716877158,0.6180472666508273
1,58,-0.6002460024599795,0.5215252152521134,0.6063960639607179
2,58,-0.5982256020278385,0.5373891001267026,0.5944233206591437
3,58,-0.5954557325672054,0.5536693653695068,0.5821363280230676
4,58,-0.5918751681463105,0.570352434759172,0.5695453322572852
5,58,-0.5874203380437357,0.5874203380437358,0.5566638958161076
6,58,-0.5820256776033808,0.6048502139799838,0.543509272467999
7,58,-0.5756240822319694,0.6226138032304976,0.530102790014784
8,58,-0.5681474765789856,0.640676941674175,0.5164702326988041
9,58,-0.5595275101025395,0.6589990674541023,0.5026422132422586
10,58,-0.5496963886225237,0.6775327580696224,0.4886545222116807
11,58,-0.5385878489326383,0.6962233169129227,0.4745484400657972
12,58,-0.5261382799325095,0.7150084317031542,0.46037099494109784
13,58,-0.5122879889234677,0.7338179300795616,0.4461751471098506
14,58,-0.49698260560877,0.7525736599218515,0.4320198793043524
15,58,-0.48017460894867636,0.7711895234630259,0.41797017097139466
16,58,-0.4618249534450349,0.7895716945995755,0.40409683426456844
17,58,-0.4419047619047333,0.8076190476189954,0.39047619047633103
18,58,-0.4203970416504208,0.8252238224989746,0.3771895679254071
19,58,-0.39729837107665394,0.8422725466825063,0.3643226062774623
20,58,-0.3726204941271543,0.8586472255973555,0.3519643580398439
21,58,-0.3463917525772989,0.8742268041236593,0.3402061855671655
22,58,-0.3186582809224131,0.8888888888888369,0.3291404612160915
23,58,-0.28948488718602006,0.9025117071093565,0.318859088974193
24,58,-0.25895554596459486,0.9149762624082352,0.3094518774278726
25,58,-0.2271734381826,0.9261686325905999,0.3010048055921284
26,58,-0.1942604856512036,0.9359823399557992,0.29359823399575397
27,58,-0.16035634743874416,0.9443207126948271,0.2873051224946028
28,58,-0.1256168685509131,0.9510991475997703,0.2821893225663454
29,58,-0.09021199819575526,0.9562471808750064,0.27830401443409314
30,58,-0.05432322317790574,0.9597102761430013,0.2756903576280602
31,58,-0.01814058956916014,0.9614512471654831,0.2743764172337347
32,58,0.018140589569160044,0.9614512471654831,0.2743764172337347
33,58,0.054323223177905645,0.9597102761430013,0.2756903576280602
34,58,0.09021199819575537,0.9562471808750064,0.27830401443409314
35,58,0.12561686855091303,0.9510991475997703,0.2821893225663454
36,58,0.1603563474387443,0.9443207126948271,0.2873051224946028
37,58,0.1942604856512035,0.9359823399557992,0.29359823399575397
38,58,0.2271734381825999,0.9261686325905999,0.3010048055921284
39,58,0.2589555459645948,0.9149762624082352,0.3094518774278726
40,58,0.28948488718602,0.9025117071093566,0.3188590889741931
41,58,0.3186582809224133,0.8888888888888369,0.32914046121609153
42,58,0.34639175257729893,0.8742268041236592,0.3402061855671654
43,58,0.3726204941271544,0.8586472255973555,0.3519643580398439
44,58,0.3972983710766538,0.8422725466825063,0.36432260627746227
45,58,0.42039704165042086,0.8252238224989745,0.37718956792540703
46,58,0.4419047619047332,0.8076190476189954,0.390476190476331
47,58,0.4618249534450348,0.7895716945995755,0.4040968342645684
48,58,0.4801746089486764,0.7711895234630258,0.41797017097139466
49,58,0.4969826056087699,0.7525736599218515,0.4320198793043524
50,58,0.5122879889234675,0.7338179300795616,0.44617514710985057
51,58,0.5261382799325096,0.7150084317031541,0.46037099494109784
52,58,0.5385878489326383,0.6962233169129227,0.4745484400657972
53,58,0.5496963886225237,0.6775327580696224,0.4886545222116807
54,58,0.5595275101025396,0.6589990674541023,0.5026422132422587
